r,g,b
0,0.44982699,1
0,0.467128028,1
0,0.484429066,1
0,0.501730104,1
0,0.519031142,1
0,0.53633218,1
0,0.553633218,1
0,0.570934256,1
0,0.588235294,1
0,0.588235294,1
0,0.588235294,1
0.029411765,0.600346021,1
0.058823529,0.612456747,1
0.088235294,0.624567474,1
0.117647059,0.636678201,1
0.147058824,0.648788927,1
0.176470588,0.660899654,1
0.205882353,0.673010381,1
0.235294118,0.685121107,1
0.264705882,0.697231834,1
0.294117647,0.709342561,1
0.323529412,0.721453287,1
0.352941176,0.733564014,1
0.382352941,0.74567474,1
0.411764706,0.757785467,1
0.441176471,0.769896194,1
0.470588235,0.78200692,1
0.5,0.794117647,1
0.529411765,0.806228374,1
0.558823529,0.8183391,1
0.588235294,0.830449827,1
0.617647059,0.842560554,1
0.647058824,0.85467128,1
0.676470588,0.866782007,1
0.705882353,0.878892734,1
0.735294118,0.89100346,1
0.764705882,0.903114187,1
0.794117647,0.915224913,1
0.823529412,0.92733564,1
0.852941176,0.939446367,1
0.882352941,0.951557093,1
0.911764706,0.96366782,1
0.941176471,0.975778547,1
0.970588235,0.987889273,1
1,1,1
1,1,1
1,1,1
0.999307958,0.986620531,0.996539792
0.998615917,0.973241061,0.993079585
0.997923875,0.959861592,0.989619377
0.997231834,0.946482122,0.98615917
0.996539792,0.933102653,0.982698962
0.995847751,0.919723183,0.979238754
0.995155709,0.906343714,0.975778547
0.994463668,0.892964245,0.972318339
0.993771626,0.879584775,0.968858131
0.993079585,0.866205306,0.965397924
0.992387543,0.852825836,0.961937716
0.991695502,0.839446367,0.958477509
0.99100346,0.826066897,0.955017301
0.990311419,0.812687428,0.951557093
0.989619377,0.799307958,0.948096886
0.988927336,0.785928489,0.944636678
0.988235294,0.77254902,0.941176471
0.987543253,0.75916955,0.937716263
0.986851211,0.745790081,0.934256055
0.98615917,0.732410611,0.930795848
0.985467128,0.719031142,0.92733564
0.984775087,0.705651672,0.923875433
0.984083045,0.692272203,0.920415225
0.983391003,0.678892734,0.916955017
0.982698962,0.665513264,0.91349481
0.98200692,0.652133795,0.910034602
0.981314879,0.638754325,0.906574394
0.980622837,0.625374856,0.903114187
0.979930796,0.611995386,0.899653979
0.979238754,0.598615917,0.896193772
0.978546713,0.585236448,0.892733564
0.977854671,0.571856978,0.889273356
0.97716263,0.558477509,0.885813149
0.976470588,0.545098039,0.882352941
0.976470588,0.545098039,0.882352941
0.976470588,0.545098039,0.882352941
0.974971165,0.529065744,0.880968858
0.973471742,0.513033449,0.879584775
0.971972318,0.497001153,0.878200692
0.970472895,0.480968858,0.876816609
0.968973472,0.464936563,0.875432526
0.967474048,0.448904268,0.874048443
0.965974625,0.432871972,0.87266436
0.964475202,0.416839677,0.871280277
0.962975779,0.400807382,0.869896194
0.961476355,0.384775087,0.868512111
0.959976932,0.368742791,0.867128028
0.958477509,0.352710496,0.865743945
0.956978085,0.336678201,0.864359862
0.955478662,0.320645905,0.862975779
0.953979239,0.30461361,0.861591696
0.952479815,0.288581315,0.860207612
0.950980392,0.27254902,0.858823529
0.949480969,0.256516724,0.857439446
0.947981546,0.240484429,0.856055363
0.946482122,0.224452134,0.85467128
0.944982699,0.208419839,0.853287197
0.943483276,0.192387543,0.851903114
0.941983852,0.176355248,0.850519031
0.940484429,0.160322953,0.849134948
0.938985006,0.144290657,0.847750865
0.937485582,0.128258362,0.846366782
0.935986159,0.112226067,0.844982699
0.934486736,0.096193772,0.843598616
0.932987313,0.080161476,0.842214533
0.931487889,0.064129181,0.84083045
0.929988466,0.048096886,0.839446367
0.928489043,0.032064591,0.838062284
0.926989619,0.016032295,0.836678201
0.925490196,0,0.835294118
0.925490196,0,0.835294118
0.925490196,0,0.835294118
0.927681661,0,0.810726644
0.929873126,0,0.78615917
0.932064591,0,0.761591696
0.934256055,0,0.737024221
0.93644752,0,0.712456747
0.938638985,0,0.687889273
0.94083045,0,0.663321799
0.943021915,0,0.638754325
0.945213379,0,0.614186851
0.947404844,0,0.589619377
0.949596309,0,0.565051903
0.951787774,0,0.540484429
0.953979239,0,0.515916955
0.956170704,0,0.491349481
0.958362168,0,0.466782007
0.960553633,0,0.442214533
0.962745098,0,0.417647059
0.964936563,0,0.393079585
0.967128028,0,0.368512111
0.969319493,0,0.343944637
0.971510957,0,0.319377163
0.973702422,0,0.294809689
0.975893887,0,0.270242215
0.978085352,0,0.24567474
0.980276817,0,0.221107266
0.982468281,0,0.196539792
0.984659746,0,0.171972318
0.986851211,0,0.147404844
0.989042676,0,0.12283737
0.991234141,0,0.098269896
0.993425606,0,0.073702422
0.99561707,0,0.049134948
0.997808535,0,0.024567474
1,0,0
1,0,0
1,0,0
1,0.016955017,0
1,0.033910035,0
1,0.050865052,0
1,0.067820069,0
1,0.084775087,0
1,0.101730104,0
1,0.118685121,0
1,0.135640138,0
1,0.152595156,0
1,0.169550173,0
1,0.18650519,0
1,0.203460208,0
1,0.220415225,0
1,0.237370242,0
1,0.25432526,0
1,0.271280277,0
1,0.288235294,0
1,0.305190311,0
1,0.322145329,0
1,0.339100346,0
1,0.356055363,0
1,0.373010381,0
1,0.389965398,0
1,0.406920415,0
1,0.423875433,0
1,0.44083045,0
1,0.457785467,0
1,0.474740484,0
1,0.491695502,0
1,0.508650519,0
1,0.525605536,0
1,0.542560554,0
1,0.559515571,0
1,0.576470588,0
1,0.576470588,0
1,0.576470588,0
1,0.588927336,0.029411765
1,0.601384083,0.058823529
1,0.61384083,0.088235294
1,0.626297578,0.117647059
1,0.638754325,0.147058824
1,0.651211073,0.176470588
1,0.66366782,0.205882353
1,0.676124567,0.235294118
1,0.688581315,0.264705882
1,0.701038062,0.294117647
1,0.71349481,0.323529412
1,0.725951557,0.352941176
1,0.738408304,0.382352941
1,0.750865052,0.411764706
1,0.763321799,0.441176471
1,0.775778547,0.470588235
1,0.788235294,0.5
1,0.800692042,0.529411765
1,0.813148789,0.558823529
1,0.825605536,0.588235294
1,0.838062284,0.617647059
1,0.850519031,0.647058824
1,0.862975779,0.676470588
1,0.875432526,0.705882353
1,0.887889273,0.735294118
1,0.900346021,0.764705882
1,0.912802768,0.794117647
1,0.925259516,0.823529412
1,0.937716263,0.852941176
1,0.95017301,0.882352941
1,0.962629758,0.911764706
1,0.975086505,0.941176471
1,0.987543253,0.970588235
1,1,1
1,1,1
1,1,1
0.982698962,0.995963091,0.975778547
0.965397924,0.991926182,0.951557093
0.948096886,0.987889273,0.92733564
0.930795848,0.983852364,0.903114187
0.91349481,0.979815456,0.878892734
0.896193772,0.975778547,0.85467128
0.878892734,0.971741638,0.830449827
0.861591696,0.967704729,0.806228374
0.844290657,0.96366782,0.78200692
0.826989619,0.959630911,0.757785467
0.809688581,0.955594002,0.733564014
0.792387543,0.951557093,0.709342561
0.775086505,0.947520185,0.685121107
0.757785467,0.943483276,0.660899654
0.740484429,0.939446367,0.636678201
0.723183391,0.935409458,0.612456747
0.705882353,0.931372549,0.588235294
0.688581315,0.92733564,0.564013841
0.671280277,0.923298731,0.539792388
0.653979239,0.919261822,0.515570934
0.636678201,0.915224913,0.491349481
0.619377163,0.911188005,0.467128028
0.602076125,0.907151096,0.442906574
0.584775087,0.903114187,0.418685121
0.567474048,0.899077278,0.394463668
0.55017301,0.895040369,0.370242215
0.532871972,0.89100346,0.346020761
0.515570934,0.886966551,0.321799308
0.498269896,0.882929642,0.297577855
0.480968858,0.878892734,0.273356401
0.46366782,0.874855825,0.249134948
0.446366782,0.870818916,0.224913495
0.429065744,0.866782007,0.200692042
0.411764706,0.862745098,0.176470588
0.411764706,0.862745098,0.176470588
0.411764706,0.862745098,0.176470588
0.399653979,0.852133795,0.171280277
0.387543253,0.841522491,0.166089965
0.375432526,0.830911188,0.160899654
0.363321799,0.820299885,0.155709343
0.351211073,0.809688581,0.150519031
0.339100346,0.799077278,0.14532872
0.326989619,0.788465975,0.140138408
0.314878893,0.777854671,0.134948097
0.302768166,0.767243368,0.129757785
0.290657439,0.756632065,0.124567474
0.278546713,0.746020761,0.119377163
0.266435986,0.735409458,0.114186851
0.25432526,0.724798155,0.10899654
0.242214533,0.714186851,0.103806228
0.230103806,0.703575548,0.098615917
0.21799308,0.692964245,0.093425606
0.205882353,0.682352941,0.088235294
0.193771626,0.671741638,0.083044983
0.1816609,0.661130334,0.077854671
0.169550173,0.650519031,0.07266436
0.157439446,0.639907728,0.067474048
0.14532872,0.629296424,0.062283737
0.133217993,0.618685121,0.057093426
0.121107266,0.608073818,0.051903114
0.10899654,0.597462514,0.046712803
0.096885813,0.586851211,0.041522491
0.084775087,0.576239908,0.03633218
0.07266436,0.565628604,0.031141869
0.060553633,0.555017301,0.025951557
0.048442907,0.544405998,0.020761246
0.03633218,0.533794694,0.015570934
0.024221453,0.523183391,0.010380623
0.012110727,0.512572088,0.005190311
0,0.501960784,0
0,0.501960784,0
0,0.501960784,0
0,0.487197232,0.029411765
0,0.472433679,0.058823529
0,0.457670127,0.088235294
0,0.442906574,0.117647059
0,0.428143022,0.147058824
0,0.413379469,0.176470588
0,0.398615917,0.205882353
0,0.383852364,0.235294118
0,0.369088812,0.264705882
0,0.35432526,0.294117647
0,0.339561707,0.323529412
0,0.324798155,0.352941176
0,0.310034602,0.382352941
0,0.29527105,0.411764706
0,0.280507497,0.441176471
0,0.265743945,0.470588235
0,0.250980392,0.5
0,0.23621684,0.529411765
0,0.221453287,0.558823529
0,0.206689735,0.588235294
0,0.191926182,0.617647059
0,0.17716263,0.647058824
0,0.162399077,0.676470588
0,0.147635525,0.705882353
0,0.132871972,0.735294118
0,0.11810842,0.764705882
0,0.103344867,0.794117647
0,0.088581315,0.823529412
0,0.073817762,0.852941176
0,0.05905421,0.882352941
0,0.044290657,0.911764706
0,0.029527105,0.941176471
0,0.014763552,0.970588235
0,0,1
0,0,1
0,0,1
0,0.017301038,1
0,0.034602076,1
0,0.051903114,1
0,0.069204152,1
0,0.08650519,1
0,0.103806228,1
0,0.121107266,1
0,0.138408304,1
0,0.155709343,1
0,0.173010381,1
0,0.190311419,1
0,0.207612457,1
0,0.224913495,1
0,0.242214533,1
0,0.259515571,1
0,0.276816609,1
0,0.294117647,1
0,0.311418685,1
0,0.328719723,1
0,0.346020761,1
0,0.363321799,1
0,0.380622837,1
0,0.397923875,1
0,0.415224913,1
0,0.432525952,1